name,binaryflag,mass,radius,period,semimajoraxis,eccentricity,periastron,longitude,ascendingnode,inclination,temperature,age,discoverymethod,discoveryyear,lastupdate,system_rightascension,system_declination,system_distance,hoststar_mass,hoststar_radius,hoststar_metallicity,hoststar_temperature,hoststar_age,list
KOI-0279 c,0,,0.22783,15.413121000000,0.1280000,,,,,,905.0,,,,,19 41 56,+51 00 48,395.65,1.1800,1.3100,,6418.00,2.8700,Kepler Objects of Interest
KOI-0279 d,0,,0.07108,7.514646000000,0.0792781,,,,,,1150.0,,,,,19 41 56,+51 00 48,395.65,1.1800,1.3100,,6418.00,2.8700,Kepler Objects of Interest
KOI-1655 b,0,,0.13943,0.938470400000,0.0190000,,,,,,1866.0,,,,,18 58 55,+49 31 59,646.49,0.9720,0.9800,,5885.00,4.7000,Kepler Objects of Interest
KOI-1020 b,0,,5.37669,54.356319000000,0.2880000,,,,,,599.0,,,,,19 31 43,+37 36 23,682.99,1.0800,1.4500,,6059.00,6.0000,Kepler Objects of Interest
KOI-2264 b,0,,0.20049,33.242010000000,0.1920000,,,,,,559.0,,,,,19 21 23,+50 54 10,820.34,0.8500,1.0000,,5560.00,13.0000,Kepler Objects of Interest
KOI-1067 b,0,,3.37182,185.023110000000,0.6530000,,,,,,345.0,,,,,19 45 14,+44 09 56,1160.74,1.0800,1.0400,,6182.00,1.5000,Kepler Objects of Interest
KOI-0223 b,0,,0.25881,3.177426600000,0.0400000,,,,,,1025.0,,,,,19 04 38,+39 40 40,633.60,0.8590,0.7500,,5350.00,0.5000,Kepler Objects of Interest
KOI-0223 c,0,,0.23329,41.008120000000,0.2210000,,,,,,436.0,,,,,19 04 38,+39 40 40,633.60,0.8590,0.7500,,5350.00,0.5000,Kepler Objects of Interest
KOI-0856 b,0,,1.36695,39.748877000000,0.2340000,,,,,,553.0,,,,,19 32 43,+41 58 09,1456.30,1.0800,0.9800,,6129.00,0.3000,Kepler Objects of Interest
KOI-0379 c,0,,0.18408,23.135710000000,0.1740000,,,,,,894.0,,,,,19 28 13,+37 46 34,1111.47,1.3200,1.6600,,6558.00,2.6500,Kepler Objects of Interest
KOI-2627 b,0,,0.09569,8.384690000000,0.0760000,,,,,,852.0,,,,,19 28 30,+41 24 28,822.97,0.8300,0.9500,,5469.00,13.9000,Kepler Objects of Interest
KOI-4971 b,0,,0.09022,146.349594000000,0.3566350,,,,,,135.3,,,,,19 11 33,+38 29 33,172.45,,0.2900,-0.1000,3401.00,,Kepler Objects of Interest
KOI-0873 b,0,,0.17679,4.347326000000,0.0510000,,,,,,1029.0,,,,,19 27 51,+42 41 46,951.08,0.9550,0.8500,,5725.00,0.4000,Kepler Objects of Interest
KOI-2121 b,0,,0.12667,4.510142000000,0.0520000,,,,,,966.0,,,,,19 44 10,+45 59 06,835.49,0.9130,0.8100,,5554.00,0.5000,Kepler Objects of Interest
KOI-1103 b,0,,0.52856,90.138600000000,0.4080000,,,,,,432.0,,,,,19 32 53,+38 02 00,1297.49,1.1200,0.9900,,6288.00,,Kepler Objects of Interest
KOI-2635 b,0,,0.12485,22.241380000000,0.1630000,,,,,,806.0,,,,,19 16 07,+40 05 12,673.97,1.1600,1.3900,,6266.00,3.8800,Kepler Objects of Interest
KOI-4735 b,0,,0.09113,2.879962000000,0.0364239,,,,,,958.0,,,,,18 59 02,+49 08 31,,,0.6810,,,,Kepler Objects of Interest
KOI-0523 b,0,,0.64703,49.412430000000,0.2710000,,,,,,542.0,,,,,19 04 11,+45 03 11,1387.37,1.0900,1.0700,,6197.00,1.8000,Kepler Objects of Interest
KOI-0523 c,0,,0.26428,36.854780000000,0.2230000,,,,,,598.0,,,,,19 04 11,+45 03 11,1387.37,1.0900,1.0700,,6197.00,1.8000,Kepler Objects of Interest
KOI-0759 b,0,,0.38275,32.625010000000,0.1940000,,,,,,513.0,,,,,19 02 52,+48 30 21,915.25,0.9180,0.8300,,5608.00,1.8000,Kepler Objects of Interest
KOI-0759 c,0,,0.23694,91.774300000000,0.3870000,,,,,,363.0,,,,,19 02 52,+48 30 21,915.25,0.9180,0.8300,,5608.00,1.8000,Kepler Objects of Interest
KOI-2595 b,0,,0.16586,9.182520000000,0.0950000,,,,,,1259.0,,,,,19 23 58,+45 11 31,1150.99,1.3800,1.7000,,6742.00,2.1500,Kepler Objects of Interest
KOI-2595 c,0,,0.18864,14.613600000000,0.1300000,,,,,,1076.0,,,,,19 23 58,+45 11 31,1150.99,1.3800,1.7000,,6742.00,2.1500,Kepler Objects of Interest
KOI-1532 b,0,,0.19593,18.114500000000,0.1430000,,,,,,853.0,,,,,19 14 38,+49 44 13,670.43,1.1800,1.2900,,6450.00,2.5800,Kepler Objects of Interest
KOI-4804 b,0,,0.17406,21.086760270000,0.1456820,,,,,,639.0,,,,,19 44 23,+47 59 33,1122.25,,0.8290,-0.5000,6068.00,,Kepler Objects of Interest
KOI-3255 b,0,,0.14754,66.651072600000,0.2735870,,,,,,294.5,,,,,19 49 23,+44 01 36,305.39,,0.6220,-0.3200,4427.00,,Kepler Objects of Interest
KOI-0240 b,0,,0.38275,4.286859000000,0.0530000,,,,,,1202.0,,,,,19 24 19,+43 51 36,1319.25,1.1100,1.0200,,6215.00,0.2000,Kepler Objects of Interest
KOI-4891 b,0,,0.15264,4.730884240000,0.0551659,,,,,,1065.0,,,,,19 49 55,+48 01 20,1484.85,,0.9110,-0.1400,5941.00,,Kepler Objects of Interest
KOI-1868 b,0,,0.18591,17.760669000000,0.1100000,,,,,,400.0,,,,,19 22 50,+42 14 14,338.20,0.5590,0.5330,,4121.00,13.8000,Kepler Objects of Interest
KOI-0854 b,0,,0.19866,56.056280000000,0.2310000,,,,,,253.0,,,,,19 18 02,+41 48 43,380.52,0.5200,0.5030,,3893.00,14.0000,Kepler Objects of Interest
KOI-2032 b,0,,0.11482,14.079698000000,0.1090000,,,,,,686.0,,,,,19 22 06,+38 08 34,251.53,0.8700,0.8600,,5530.00,7.0000,Kepler Objects of Interest
KOI-2282 b,0,,0.13032,6.892250000000,0.0720000,,,,,,974.0,,,,,18 47 19,+42 17 56,825.88,1.0540,0.9600,,6059.00,0.4000,Kepler Objects of Interest
KOI-5018 b,0,,0.95231,293.505646100000,0.8552240,,,,,,245.2,,,,,19 29 51,+38 54 26,970.53,,0.8540,0.0700,5561.00,,Kepler Objects of Interest
KOI-1457 b,0,,0.67436,8.027672900000,0.0780000,,,,,,761.0,,,,,19 18 24,+46 18 53,1023.08,0.9800,0.8100,,5364.00,,Kepler Objects of Interest
KOI-2299 b,0,,0.94776,16.486830000000,0.1280000,,,,,,712.0,,,,,19 46 14,+46 51 26,1300.77,1.0330,0.9300,,5986.00,0.4000,Kepler Objects of Interest
KOI-3404 b,0,,0.17315,82.285800000000,0.3766830,,,,,,424.0,,,,,18 45 10,+44 27 55,,,0.9530,,,,Kepler Objects of Interest
KOI-1606 b,0,,0.14581,5.082709000000,0.0580000,,,,,,990.0,,,,,19 20 12,+46 42 48,617.17,1.0180,0.9380,,5578.00,1.6000,Kepler Objects of Interest
KOI-2933 b,0,,2.55165,119.084060000000,0.4110000,,,,,,251.0,,,,,19 42 42,+51 15 28,655.41,0.6520,0.6250,,4611.00,13.8000,Kepler Objects of Interest
KOI-0466 b,0,,0.72904,9.391038000000,0.0890000,,,,,,894.0,,,,,19 04 36,+45 19 57,1058.02,1.0750,0.9800,,6111.00,0.3000,Kepler Objects of Interest
KOI-3791 b,0,,0.65696,440.785196600000,1.1450300,,,,,,308.5,,,,,19 13 53,+40 39 04,1073.43,,1.3930,-0.3800,6340.00,,Kepler Objects of Interest
KOI-4961 b,0,,0.20960,348.962400000000,0.9148850,,,,,,198.0,,,,,19 36 20,+38 09 22,722.44,,0.7920,0.4400,4823.00,,Kepler Objects of Interest
KOI-3459 b,0,,0.15930,13.222402100000,0.1077060,,,,,,740.0,,,,,19 29 19,+37 59 49,1126.15,,0.8610,-0.2800,5933.00,,Kepler Objects of Interest
KOI-1888 b,0,,0.39186,120.019000000000,0.5190000,,,,,,489.0,,,,,19 06 44,+47 05 53,968.98,1.2900,1.4100,,6741.00,1.7000,Kepler Objects of Interest
KOI-0612 b,0,,0.19137,20.740110000000,0.1360000,,,,,,569.0,,,,,18 59 52,+42 04 45,520.11,0.7830,0.8300,,5231.00,14.0000,Kepler Objects of Interest
KOI-0612 c,0,,0.20960,47.426930000000,0.2360000,,,,,,432.0,,,,,18 59 52,+42 04 45,520.11,0.7830,0.8300,,5231.00,14.0000,Kepler Objects of Interest
KOI-0612 d,0,,0.39459,122.079897700000,0.4695840,,,,,,419.1,,,,,18 59 52,+42 04 45,520.11,0.7830,0.8300,,5231.00,14.0000,Kepler Objects of Interest
KOI-5135 b,0,,0.20322,314.764297000000,0.8504560,,,,,,217.3,,,,,19 23 44,+40 21 29,909.21,,0.7550,-0.1400,5228.00,,Kepler Objects of Interest
KOI-0686 b,0,,1.03889,52.513565000000,0.2620000,,,,,,453.0,,,,,19 47 21,+43 38 49,488.07,0.8690,0.9000,,5559.00,8.6000,Kepler Objects of Interest
KOI-2462 b,0,,0.13032,12.146640000000,0.1060000,,,,,,981.0,,,,,19 55 58,+40 08 32,408.78,1.0700,1.4300,,6050.00,6.2000,Kepler Objects of Interest
KOI-4343 b,0,,0.14298,27.210672100000,0.1722910,,,,,,725.2,,,,,19 12 18,+43 57 30,861.47,,1.3050,-0.3400,5973.00,,Kepler Objects of Interest
KOI-1433 b,0,,0.20049,19.807620000000,0.1420000,,,,,,629.0,,,,,19 08 13,+49 02 45,1309.03,0.9730,0.8600,,5781.00,0.4000,Kepler Objects of Interest
KOI-4706 b,0,,0.12758,101.952441000000,0.4320390,,,,,,428.0,,,,,19 49 05,+46 55 42,739.72,,1.0540,-0.1800,6210.00,,Kepler Objects of Interest
KOI-5406 b,0,,0.08266,5.719587900000,0.0669976,,,,,,1479.0,,,,,19 46 38,+43 16 13,469.56,,1.8650,-0.1400,6356.00,,Kepler Objects of Interest
KOI-2874 b,0,,0.09569,0.352517850000,0.0090000,,,,,,2265.0,,,,,19 19 26,+45 30 13,754.51,0.8950,0.7900,,5484.00,0.5000,Kepler Objects of Interest
KOI-5376 b,0,,0.15401,274.553318000000,0.8223870,,,,,,322.4,,,,,18 45 07,+42 53 58,820.36,,1.1180,-0.3600,6267.00,,Kepler Objects of Interest
KOI-5342 b,0,,0.26610,25.502367000000,0.1700470,,,,,,661.0,,,,,18 51 58,+42 32 49,1475.00,,1.0820,-0.0400,5941.00,,Kepler Objects of Interest
KOI-2715 b,0,,0.52856,11.128312000000,0.0820000,,,,,,502.0,,,,,19 38 06,+46 38 27,835.91,0.5900,0.6000,,4210.00,,Kepler Objects of Interest
KOI-2715 c,0,,0.28250,2.226494000000,0.0280000,,,,,,860.0,,,,,19 38 06,+46 38 27,835.91,0.5900,0.6000,,4210.00,,Kepler Objects of Interest
KOI-2715 d,0,,0.24605,5.720856000000,0.0530000,,,,,,625.0,,,,,19 38 06,+46 38 27,835.91,0.5900,0.6000,,4210.00,,Kepler Objects of Interest
KOI-5068 b,0,,0.14909,385.292330000000,1.0065700,,,,,,290.6,,,,,19 45 41,+39 34 45,610.72,,1.0530,-0.7600,6440.00,,Kepler Objects of Interest
KOI-4548 b,0,,0.10207,61.077136000000,0.2719970,,,,,,379.1,,,,,19 12 30,+38 20 50,603.87,,0.6830,-0.7000,5423.00,,Kepler Objects of Interest
KOI-4933 b,0,,0.21324,452.114820000000,1.1345800,,,,,,254.2,,,,,19 28 24,+37 34 00,1335.58,,0.9560,-0.5200,6276.00,,Kepler Objects of Interest
KOI-5684 b,0,,2.46872,206.805834000000,0.9377950,,,,,,675.0,,,,,19 43 29,+46 00 52,1245.48,,8.6110,0.2100,5048.00,,Kepler Objects of Interest
KOI-0102 b,0,,0.33627,1.735136500000,0.0290000,,,,,,1571.0,,,,,19 58 49,+44 26 08,404.76,1.1120,1.0790,,5838.00,2.5000,Kepler Objects of Interest
KOI-0102 c,0,,0.09933,4.068545000000,0.0520000,,,,,,1173.0,,,,,19 58 49,+44 26 08,404.76,1.1120,1.0790,,5838.00,2.5000,Kepler Objects of Interest
KOI-2458 b,0,,0.16403,4.354075000000,0.0490000,,,,,,1046.0,,,,,19 22 58,+43 15 38,1122.13,0.8200,0.9300,,5447.00,13.8000,Kepler Objects of Interest
KOI-2458 c,0,,0.14927,2.936614996000,0.0371796,,,,,,1190.0,,,,,19 22 58,+43 15 38,1122.13,0.8200,0.9300,,5447.00,13.8000,Kepler Objects of Interest
KOI-4245 b,0,,0.20696,24.667955600000,0.1775010,,,,,,780.0,,,,,19 21 55,+51 57 54,971.21,,1.5280,0.1600,6028.00,,Kepler Objects of Interest
KOI-4341 b,0,,0.12722,10.778330980000,0.0973071,,,,,,1072.0,,,,,19 43 51,+42 12 00,872.79,,1.2680,-0.6000,6734.00,,Kepler Objects of Interest
KOI-2959 b,0,,0.20049,16.156090000000,0.1100000,,,,,,495.0,,,,,19 49 05,+43 05 55,664.73,0.6800,0.7400,,4319.00,,Kepler Objects of Interest
KOI-0902 b,0,,0.49484,83.910890000000,0.3210000,,,,,,271.0,,,,,19 11 24,+43 53 52,578.01,0.6280,0.5990,,4494.00,14.0000,Kepler Objects of Interest
KOI-5357 b,0,,0.17315,520.576159000000,1.3064300,,,,,,243.6,,,,,19 34 12,+42 40 20,859.27,,1.0330,-0.1000,6210.00,,Kepler Objects of Interest
KOI-4855 b,0,,0.07017,1.457239000000,0.0261087,,,,,,1733.0,,,,,19 21 26,+46 39 40,,,1.0330,,,,Kepler Objects of Interest
KOI-4087 b,0,,0.14362,101.110505800000,0.3338670,,,,,,201.1,,,,,19 01 23,+41 27 07,249.06,,0.4770,-0.3000,3813.00,,Kepler Objects of Interest
KOI-4302 b,0,,0.08193,5.533221410000,0.0618111,,,,,,1277.0,,,,,19 34 43,+41 36 43,913.93,,1.2150,-0.5000,6529.00,,Kepler Objects of Interest
KOI-3224 b,0,,0.04912,3.438656250000,0.0421678,,,,,,1030.0,,,,,18 45 18,+47 35 05,212.88,,0.7790,-0.2000,5431.00,,Kepler Objects of Interest
KOI-2866 b,0,,0.07837,1.291245800000,0.0240000,,,,,,1895.0,,,,,19 03 00,+39 14 57,1004.54,1.1590,1.0900,,6376.00,0.3500,Kepler Objects of Interest
KOI-1681 b,0,,0.11482,6.939196000000,0.0570000,,,,,,510.0,,,,,19 25 08,+40 43 48,381.18,0.5210,0.5030,,3891.00,13.8000,Kepler Objects of Interest
KOI-1681 c,0,,0.08056,1.992831944000,0.0231589,,,,,,661.5,,,,,19 25 08,+40 43 48,381.18,0.5210,0.5030,,3891.00,13.8000,Kepler Objects of Interest
KOI-1681 d,0,,0.08749,3.531115000000,0.0365048,,,,,,639.0,,,,,19 25 08,+40 43 48,381.18,0.5210,0.5030,,3891.00,13.8000,Kepler Objects of Interest
KOI-0438 b,0,,0.17315,5.931217000000,0.0550000,,,,,,663.0,,,,,19 13 58,+51 04 54,297.82,0.6350,0.6060,,4526.00,13.9000,Kepler Objects of Interest
KOI-0438 c,0,,0.20869,52.661870000000,0.2370000,,,,,,319.0,,,,,19 13 58,+51 04 54,297.82,0.6350,0.6060,,4526.00,13.9000,Kepler Objects of Interest
KOI-0541 b,0,,0.22783,13.646250000000,0.1080000,,,,,,666.0,,,,,19 15 41,+49 45 43,738.17,0.9080,0.8000,,5540.00,0.5000,Kepler Objects of Interest
KOI-2099 b,0,,0.25516,78.097100000000,0.3680000,,,,,,446.0,,,,,19 29 12,+38 16 01,1266.95,1.0900,0.9900,,6158.00,0.3000,Kepler Objects of Interest
KOI-3411 b,0,,1.20839,26.837716489000,0.1837200,,,,,,655.0,,,,,19 00 35,+41 23 20,1048.90,,1.0640,0.0700,6167.00,,Kepler Objects of Interest
KOI-1662 b,0,,0.14854,0.784026200000,0.0160000,,,,,,1641.0,,,,,19 36 31,+39 58 55,928.78,0.8670,0.7600,,5388.00,0.6000,Kepler Objects of Interest
KOI-2090 b,0,,0.13670,5.132541000000,0.0450000,,,,,,562.0,,,,,19 24 22,+49 11 24,317.48,0.4600,0.5000,,3834.00,,Kepler Objects of Interest
KOI-5924 b,0,,0.24605,291.305240000000,0.7712530,,,,,,218.6,,,,,19 38 45,+49 37 37,919.30,,0.7480,-0.2200,5031.00,,Kepler Objects of Interest
KOI-5480 b,0,,0.54405,57.140285000000,0.2889970,,,,,,588.6,,,,,20 03 29,+43 58 24,3559.47,,1.4600,-0.2000,5936.00,,Kepler Objects of Interest
KOI-0582 b,0,,0.20049,5.945053000000,0.0600000,,,,,,805.0,,,,,19 24 44,+45 19 23,618.30,0.8280,0.7300,,5235.00,0.9000,Kepler Objects of Interest
KOI-0582 c,0,,0.18408,17.738570000000,0.1250000,,,,,,558.0,,,,,19 24 44,+45 19 23,618.30,0.8280,0.7300,,5235.00,0.9000,Kepler Objects of Interest
KOI-0582 d,0,,0.12576,9.939543000000,0.0850000,,,,,,676.0,,,,,19 24 44,+45 19 23,618.30,0.8280,0.7300,,5235.00,0.9000,Kepler Objects of Interest
KOI-0555 b,0,,0.12849,3.701730000000,0.0440000,,,,,,1048.0,,,,,19 32 29,+40 56 05,750.63,0.8540,0.9030,,5245.00,12.3000,Kepler Objects of Interest
KOI-0555 c,0,,0.24423,86.492600000000,0.3630000,,,,,,365.0,,,,,19 32 29,+40 56 05,750.63,0.8540,0.9030,,5245.00,12.3000,Kepler Objects of Interest
KOI-5335 b,0,,5.69022,1.752541065220,0.0293665,,,,,,2018.8,,,,,19 55 11,+42 23 27,393.43,,1.7950,-0.0400,5853.00,,Kepler Objects of Interest
KOI-3203 b,0,,0.20769,96.818796900000,0.4326500,,,,,,587.0,,,,,19 31 34,+38 16 13,597.38,,1.5230,-0.6400,7095.00,,Kepler Objects of Interest
KOI-4754 b,0,,0.16950,7.087710000000,0.0736518,,,,,,967.0,,,,,19 51 37,+47 20 12,,,0.9610,,,,Kepler Objects of Interest
KOI-4427 b,0,,0.13305,147.662890000000,0.4186610,,,,,,164.2,,,,,19 40 28,+39 16 26,263.50,,0.4310,-0.2000,3668.00,,Kepler Objects of Interest
KOI-0660 b,0,,0.25516,6.079629000000,0.0630000,,,,,,1174.0,,,,,18 59 40,+41 37 01,768.41,0.9060,1.4900,,5480.00,14.0000,Kepler Objects of Interest
KOI-1216 b,0,,0.16312,11.131270000000,0.0990000,,,,,,924.0,,,,,19 12 32,+38 59 48,720.74,1.0500,1.1600,,6117.00,4.5000,Kepler Objects of Interest
KOI-2838 c,0,,0.06015,4.774656000000,0.0550000,,,,,,1034.0,,,,,19 28 47,+42 02 45,492.15,0.9570,0.9000,,5789.00,2.9000,Kepler Objects of Interest
KOI-2529 b,0,,0.16130,16.797020000000,0.1110000,,,,,,450.0,,,,,20 06 52,+44 24 43,579.35,0.6430,0.5790,,4470.00,3.5000,Kepler Objects of Interest
KOI-2529 c,0,,0.15948,64.002339100000,0.2500970,,,,,,271.1,,,,,20 06 52,+44 24 43,579.35,0.6430,0.5790,,4470.00,3.5000,Kepler Objects of Interest
KOI-5248 b,0,,0.14681,179.258949000000,0.5700250,,,,,,301.2,,,,,19 19 18,+41 31 29,957.61,,0.8200,-0.5600,5692.00,,Kepler Objects of Interest
KOI-0232 b,0,,0.42831,12.466071000000,0.1080000,,,,,,807.0,,,,,19 24 26,+39 56 56,862.11,1.0700,0.9700,,6102.00,0.3000,Kepler Objects of Interest
KOI-0232 c,0,,0.17497,5.766148000000,0.0640000,,,,,,1048.0,,,,,19 24 26,+39 56 56,862.11,1.0700,0.9700,,6102.00,0.3000,Kepler Objects of Interest
KOI-0232 d,0,,0.16586,21.587380000000,0.1550000,,,,,,674.0,,,,,19 24 26,+39 56 56,862.11,1.0700,0.9700,,6102.00,0.3000,Kepler Objects of Interest
KOI-0232 e,0,,0.16859,37.994410000000,0.2260000,,,,,,558.0,,,,,19 24 26,+39 56 56,862.11,1.0700,0.9700,,6102.00,0.3000,Kepler Objects of Interest
KOI-0232 f,0,,0.16312,56.256960000000,0.2940000,,,,,,489.0,,,,,19 24 26,+39 56 56,862.11,1.0700,0.9700,,6102.00,0.3000,Kepler Objects of Interest
KOI-2376 b,0,,0.24605,18.827350000000,0.1360000,,,,,,580.0,,,,,19 00 34,+49 48 02,899.42,0.9500,0.9300,,5019.00,,Kepler Objects of Interest
KOI-2559 b,0,,0.09113,9.309550000000,0.0890000,,,,,,898.0,,,,,19 26 25,+42 02 09,713.51,1.0700,0.9800,,6123.00,0.4000,Kepler Objects of Interest
KOI-5121 b,0,,0.24614,401.241510000000,1.1883900,,,,,,340.2,,,,,19 53 18,+40 08 49,795.79,,1.9120,0.2600,6079.00,,Kepler Objects of Interest
KOI-1969 b,0,,0.21233,16.343570000000,0.1230000,,,,,,647.0,,,,,20 01 40,+45 36 19,898.42,0.9350,0.8300,,5640.00,0.6000,Kepler Objects of Interest
KOI-3334 b,0,,2.45277,95.178315286000,0.3518290,,,,,,271.8,,,,,19 45 21,+48 45 27,342.30,,0.6530,-0.2400,4523.00,,Kepler Objects of Interest
KOI-1162 b,0,,0.40097,158.692400000000,0.5880000,,,,,,395.0,,,,,19 15 28,+47 45 33,572.81,1.0700,1.2500,,6138.00,4.8000,Kepler Objects of Interest
KOI-5834 b,0,,0.20504,37.538804200000,0.2309300,,,,,,578.0,,,,,19 16 52,+48 12 15,1904.66,,1.0720,0.2100,6077.00,,Kepler Objects of Interest
KOI-2554 b,0,,0.20413,39.757190000000,0.1980000,,,,,,354.0,,,,,19 29 31,+47 38 40,527.66,0.6510,0.6100,,4575.00,10.6000,Kepler Objects of Interest
KOI-2554 c,0,,0.09386,10.271520000000,0.0800000,,,,,,557.0,,,,,19 29 31,+47 38 40,527.66,0.6510,0.6100,,4575.00,10.6000,Kepler Objects of Interest
